Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
electric lemon shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,108,$352.00,electric lemon short
"9"" short",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,314,"$7,911.25",9 shorts/9 short
short pants,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,289,"$3,469.30",
swiftly tech t-shirt,N,collections/parentCategory_displayName,EnglishMinimalStemFilter,172,$945.00,swiftly tech t-shirts
lululemon shirt,Y,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,188,$223.00,
love crew shirt,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,139,"$1,379.00",
align leggings pocket,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,154,"$3,964.00",
all bags,N,collections/product_customAttribute4/parentCategory_displayName,,150,$808.00,
men we made too much,N,parentCategory_displayName/gender,,131,"$1,699.60",
cream belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,196,"$1,244.20",
camo hotty,N,sku_colorCodeDesc/collections,,146,$39.00,
fast and free running,N,collections/product_customAttribute4/product_activity,,498,"$6,661.73",fast and free run
cayenne leggings,N,sku_colorCodeDesc/parentCategory_displayName,,88,$560.15,
pink peony define jacket,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,162,$0.00,
women polo shirt,Y,product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter,129,"$1,341.05",
logo shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,203,$865.00,logo shirts
size 6 leggings,N,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,107,"$1,566.15",
lined pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,163,"$1,785.00",
pocket align,N,sku_colorCodeDesc/collections/product_customAttribute4,,156,"$2,327.15",
fast free 25,Y,collections/sku_size/product_inseam,PatternReplaceFilter,156,"$1,726.55",
leopard print leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,PorterStemFilter,139,$196.00,
white shirt we made too much,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,3,$0.00,
oversized full zip,N,collections/sku_size/product_customAttribute4,,232,"$4,108.30",
swiftly tech racerback 20,N,sku_size/collections/product_customAttribute4,,153,"$1,837.60",
align 25 pocket,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,218,"$5,913.00",
cropped swift,N,product_topsLength_s/collections,,248,"$1,570.00",
define pants,N,collections/product_customAttribute4/parentCategory_displayName,,206,"$1,435.20",
like a c,N,collections/sku_size,,218,"$1,520.60",
lululemon align 23,N,sku_colorCodeDesc/collections/product_inseam/parentCategory_displayName,PatternReplaceFilter,148,"$1,944.20",
rulu run long sleeve,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter,193,"$3,070.60",
velvet dust scuba,N,sku_colorCodeDesc/collections,,176,"$2,027.60",
cross b,N,sku_colorCodeDesc/sku_size/product_customAttribute4,,185,$618.00,
license to train shorts 7,Y,product_inseam/product_customAttribute4/product_activity/collections/parentCategory_displayName/sku_size,PorterStemFilter/PatternReplaceFilter,14,$448.80,
hot pink belt,N,sku_colorGroup/sku_colorCodeDesc/collections/product_customAttribute4,,174,$887.30,
long tennis skirts,N,product_topsLength_s/product_activity/product_customAttribute4/parentCategory_displayName,,87,"$1,936.65",
scuba sonic pink,N,sku_colorGroup/sku_colorCodeDesc/collections,,346,"$2,263.00",scuba lip gloss
java tops,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,111,$573.00,
black and gold bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,148,"$1,220.30",black and gold bags
tan leggings,N,sku_colorCodeDesc/parentCategory_displayName,,130,$522.00,
kelly green swiftly,N,sku_colorGroup/sku_colorCodeDesc/collections,,143,$304.95,
powder blue scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,161,$807.80,
align tank we made to much,N,collections/parentCategory_displayName,,16,$0.00,
align long sleeve shirt,Y,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,162,"$1,546.05",
hotty hot short 2.5,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter/PatternReplaceFilter,134,"$1,677.60",
atomic purple leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,128,"$1,256.80",
sun hats,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,140,$609.50,
java shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,135,$504.00,java shirts
hair and,N,product_customAttribute4/parentCategory_displayName,,118,$287.80,
long line energy,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,PorterStemFilter,164,"$1,719.30",
lululemon align 25,N,product_inseam/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,209,"$3,530.90",
mango dream leggings,N,sku_colorCodeDesc/parentCategory_displayName,,110,$572.30,
wunder tight,Y,collections/parentCategory_displayName,EnglishMinimalStemFilter,168,"$2,709.25",
everywhere belt bag mini,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,261,"$2,869.70",
ebb to street tank size 0,N,collections/sku_size/parentCategory_displayName,,7,$0.00,
ebb to street tank top lip gloss,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,9,$0.00,
fast and free s,N,sku_size/collections/product_customAttribute4,,156,$330.30,
short sleeve button,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,122,"$1,002.80",
tech long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,230,"$3,207.70",
groove high,N,collections/product_customAttribute4,,207,"$4,097.80",
energy bra high,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,273,"$5,944.25",
sonic pink define jacket,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,204,$118.00,lip gloss define jacket
swiftly short sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,144,"$1,374.80",
tan belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,167,"$1,015.00",
women short sleeve shirt,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,128,"$1,361.00",
free to be wild lip gloss,N,sku_colorCodeDesc/collections,,6,$0.00,
pocket shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,138,"$1,178.30",
pink peony align,N,sku_colorGroup/sku_colorCodeDesc/collections,,116,$693.00,
swift tech tank,N,collections/parentCategory_displayName,,161,"$1,456.40",
we made to much scuba,N,collections/parentCategory_displayName,,167,$336.00,
zip pants,N,product_customAttribute4/parentCategory_displayName,,171,"$1,269.20",
speed up shirts,N,collections/product_customAttribute4/parentCategory_displayName,,162,$593.00,speed up shirt
black leg,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,185,$608.00,
short sleeve shirt women,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,130,"$1,323.10",
fast and free running vest,N,collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,192,"$3,662.80",fast and free run vest
men dress shirt,N,parentCategory_displayName/product_customAttribute4/gender,EnglishMinimalStemFilter/EnglishMinimalStemFilter/PorterStemFilter,181,"$1,048.80",men dress shirts
swiftly tech shirt sleeve,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,146,"$1,421.75",
deep red,N,sku_colorGroup/sku_colorCodeDesc,,123,"$1,100.00",
align pocket shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,231,"$2,201.70",align pocket short
built in bra top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,187,"$1,443.30",built in bra tops
swiftly tech sonic pink,N,sku_colorGroup/sku_colorCodeDesc/collections,,189,"$1,535.90",swiftly tech lip gloss
size 14 we made to much,N,collections/product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,1,$0.00,
abc pant classic 32,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,151,"$2,480.20","commission pant classic 32/abc pant classic 32"""
"3"" short",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,306,"$2,201.70",3 shorts
we made to much swiftly,N,collections/parentCategory_displayName,,116,$103.00,
lululemon fundamental,N,sku_colorCodeDesc/collections/parentCategory_displayName,,205,"$3,351.45",
boy short,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,160,$956.40,
gold belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,181,"$1,245.95",
"commission short 7""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,104,"$1,905.20",commission shorts 7
men swimsuit,N,parentCategory_displayName/product_customAttribute4/gender,EnglishMinimalStemFilter,123,$754.80,
surge half zip,N,collections/product_customAttribute4,,156,"$2,989.05",
define tank,N,collections/parentCategory_displayName,,159,$223.50,
logo train,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,155,$871.15,logo training
commission short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,129,$928.50,
invigorate high,N,collections/product_customAttribute4,,113,"$1,086.30",
camo print,Y,sku_colorGroup/sku_colorCodeDesc,PorterStemFilter,99,$343.00,
poolside swiftly tech,N,sku_colorCodeDesc/collections,,142,$447.00,
poolside tank top,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,110,$249.00,
running be,N,collections/product_customAttribute4/product_activity,,224,"$1,394.60",
free to be bra long line,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,14,$0.00,
free to be long,N,product_topsLength_s/collections/parentCategory_displayName,,158,$683.20,
crop t-shirt,Y,product_topsLength_s/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,99,$992.40,
28 align,Y,collections/product_inseam/sku_size,PatternReplaceFilter,163,"$3,469.05",
button shirt,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,120,"$1,374.00",
swiftly tech cropped short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,242,"$5,350.05",
base pace high,N,sku_colorCodeDesc/collections/product_customAttribute4,,264,"$6,662.40",
cyan blue sports bra,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,103,$498.10,
dark forest tank,N,sku_colorCodeDesc/parentCategory_displayName,,103,$633.00,
align b,N,collections/sku_size,,146,$170.00,
swiftly tech cropped long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,428,"$13,819.90",
align bra d,N,sku_size/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,92,$334.50,
cap sleeve hiking tank top,N,product_activity/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,146,"$1,180.20",
pouch bag,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/EnglishMinimalStemFilter/PorterStemFilter,156,$958.60,
hotty hot 4 in,N,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,157,"$1,104.25",
we made to much shirts,N,collections/parentCategory_displayName,,126,$101.90,we made to much shirt
align leggings 31,Y,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,145,"$1,965.50",
zip leg,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,203,"$1,456.60",zip leggings
lime green shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,119,$390.00,
swift speed high,N,collections/product_customAttribute4,,203,"$6,667.65",
we made to much bras,N,collections/product_customAttribute4/parentCategory_displayName,,137,$270.65,we made to much bra
abc classic 30,N,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,216,"$5,209.80","commission classic 30/commission classic 30""/abc classic 30"""
at ease half,N,collections/product_customAttribute4,,156,"$2,853.55",
mini crossbody,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4,,150,"$1,183.25",
shirt sleeve,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,124,$576.00,
wunder under tight,Y,collections/parentCategory_displayName,EnglishMinimalStemFilter,139,"$1,598.80",
black and white belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,106,$315.00,
grey and black leggings,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,126,$660.00,grey and black leg
rain pants,N,product_customAttribute4/parentCategory_displayName,,173,"$2,080.00",
pace skirt long,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,119,"$2,244.65",
2 l belt bag,N,parentCategory_displayName/product_inseam/sku_size/product_customAttribute4,EnglishMinimalStemFilter/PatternReplaceFilter,154,"$1,554.40",
4 in short,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,90,$691.00,
white le,N,sku_colorGroup/sku_colorCodeDesc,,119,$432.00,
license to train 7,Y,product_inseam/product_customAttribute4/product_activity/collections/sku_size,PorterStemFilter/PatternReplaceFilter,145,"$2,495.40",
